,"State/UT
					"," State/UT Code - Name 
					
					","Total Household
				","No of Household having Dwelling Room No
					of Household having Dwelling No
						Room
","No of Household having Dwelling Room %
					of Household having Dwelling No
						Room
","No of Household having Dwelling Room No
					of Household having Dwelling One
						Room
","No of Household having Dwelling Room %
					of Household having Dwelling One
						Room
","No of Household having Dwelling Room No
					of Household having Dwelling Two
						Rooms
","No of Household having Dwelling Room %
					of Household having Dwelling
						TwoRooms
","No of Household having Dwelling Room No
					of Household having Dwelling
						Three Rooms
","No of Household having Dwelling Room %
					of Household having Dwelling
						Three Rooms
","No of Household having Dwelling Room No
					of Household having Dwelling More
						then Three Rooms
","No of Household having Dwelling Room %
					of Household having Dwelling More
						then Three Rooms
"
0,,All India,65133952,610260,0.94%,15932154,24.46%,22711743,34.87%,13623032,20.92%,12141846,18.64%
1,STATE,28  - ANDHRA PRADESH,2925984,13799,0.47%,430673,14.72%,1380826,47.19%,733005,25.05%,364862,12.47%
2,STATE,12  - ARUNACHAL PRADESH,58375,173,0.30%,8296,14.21%,21993,37.68%,17243,29.54%,10669,18.28%
3,STATE,18  - ASSAM,683779,924,0.14%,103098,15.08%,179827,26.30%,156164,22.84%,243435,35.60%
4,STATE,10  - BIHAR,2245176,1360,0.06%,545130,24.28%,847330,37.74%,351483,15.66%,489886,21.82%
5,STATE,22  - CHHATTISGARH,1173799,1651,0.14%,285057,24.28%,414335,35.30%,238830,20.35%,232801,19.83%
6,STATE,30  - GOA,82219,330,0.40%,10989,13.37%,21821,26.54%,22626,27.52%,26444,32.16%
7,STATE,24  - GUJARAT,4708936,17684,0.38%,1239354,26.32%,1893388,40.21%,992183,21.07%,555581,11.80%
8,STATE,06  - HARYANA,1661450,3897,0.23%,342729,20.63%,519285,31.25%,390524,23.51%,387726,23.34%
9,STATE,02  - HIMACHAL PRADESH,163609,372,0.23%,39522,24.16%,56394,34.47%,28188,17.23%,38817,23.73%
10,STATE,01  - JAMMU & KASHMIR,492475,2227,0.45%,37163,7.55%,79512,16.15%,94003,19.09%,279315,56.72%
11,STATE,20  - JHARKHAND,997697,575,0.06%,142270,14.26%,364721,36.56%,230219,23.08%,258294,25.89%
12,STATE,29  - KARNATAKA,5090399,185716,3.65%,1195709,23.49%,1765340,34.68%,1015947,19.96%,919772,18.07%
13,STATE,32  - KERALA,1379341,3321,0.24%,82808,6.00%,376079,27.27%,437566,31.72%,478722,34.71%
14,STATE,23  - MADHYA PRADESH,3434918,6121,0.18%,726996,21.16%,1150859,33.50%,699127,20.35%,845625,24.62%
15,STATE,27  - MAHARASHTRA,9120640,80822,0.89%,3404213,37.32%,2891490,31.70%,1519561,16.66%,1216798,13.34%
16,STATE,14  - MANIPUR,130776,49,0.04%,15369,11.75%,30704,23.48%,39875,30.49%,44742,34.21%
17,STATE,17  - MEGHALAYA,68234,31,0.05%,8104,11.88%,15720,23.04%,17086,25.04%,27280,39.98%
18,STATE,15  - MIZORAM,114521,1250,1.09%,15912,13.89%,46759,40.83%,27318,23.85%,23278,20.33%
19,STATE,13  - NAGALAND,94854,233,0.25%,14977,15.79%,25519,26.90%,24824,26.17%,29217,30.80%
20,STATE,21  - ODISHA,1264486,2739,0.22%,342871,27.12%,433115,34.25%,237394,18.77%,246816,19.52%
21,STATE,03  - PUNJAB,1762732,2438,0.14%,320503,18.18%,587772,33.34%,441152,25.03%,410303,23.28%
22,STATE,08  - RAJASTHAN,2913518,8321,0.29%,757900,26.01%,843664,28.96%,558011,19.15%,738747,25.36%
23,STATE,11  - SIKKIM,31291,633,2.02%,5876,18.78%,10606,33.89%,5537,17.70%,8639,27.61%
24,STATE,33  - TAMILNADU,7433837,225642,3.04%,2231530,30.02%,2736290,36.81%,1410046,18.97%,825328,11.10%
25,STATE,28  - TELANGANA,2600702,698,0.03%,280021,10.77%,911437,35.05%,769780,29.60%,637715,24.52%
26,STATE,16  - TRIPURA,178559,15,0.01%,60518,33.89%,62795,35.17%,32238,18.05%,22973,12.87%
27,STATE,05  - UTTARAKHAND,489031,621,0.13%,97802,20.00%,168362,34.43%,108313,22.15%,113486,23.21%
28,STATE,09  - UTTAR PRADESH,6460192,24552,0.38%,1015544,15.72%,2220829,34.38%,1635465,25.32%,1560022,24.15%
29,STATE,19  - WEST BENGAL,4610394,3942,0.09%,1529784,33.18%,1708307,37.05%,731869,15.87%,623634,13.53%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,24236,9,0.04%,3526,14.55%,9826,40.54%,6698,27.64%,4177,17.23%
31,UT,04  - CHANDIGARH,198576,235,0.12%,66433,33.45%,57021,28.71%,42506,21.41%,32221,16.23%
32,UT,26  - DADRA & NAGAR HAVELI,21219,1,0.00%,8982,42.33%,7429,35.01%,3727,17.56%,1080,5.09%
33,UT,25  - DAMAN AND DIU,13173,0,0.00%,2570,19.51%,5190,39.40%,2780,21.10%,2632,19.98%
34,UT,07  - NCT OF DELHI,2340216,16175,0.69%,502130,21.46%,803783,34.35%,575552,24.59%,427313,18.26%
35,UT,34  - PUDUCHERRY,164608,3704,2.25%,57795,35.11%,63415,38.52%,26192,15.91%,13496,8.20%
