,"State/UT
					"," State/UT Code - Name 
					
					","Total Population
				","No
					of Population Having Wages Earned
						of Daily
","%
					of Population Having Wages Earned
						of Daily
","No
					of Population Having Wages Earned
						of Weakly
","%
					of Population Having Wages Earned
						of Weakly
","No
					of Population Having Wages Earned
						of Monthly
","%
					of Population Having Wages Earned
						of Monthly
","No
					of Population Having Wages Earned
						of Ir-regularly
","%
					of Population Having Wages Earned
						of Ir-regularly
","No
					of Population Having Wages Earned
						of Not Wages Earner
","%
					of Population Having Wages Earned
						of Not Wages Earner
"
0,,All India,299994863,28631373,9.54%,6941074,2.31%,57549351,19.18%,11289737,3.76%,195493804,65.17%
1,STATE,28  - ANDHRA PRADESH,11480183,1451528,12.64%,360184,3.14%,4055395,35.33%,178726,1.56%,5432637,47.32%
2,STATE,12  - ARUNACHAL PRADESH,245417,11408,4.65%,1130,0.46%,47216,19.24%,14193,5.78%,171459,69.86%
3,STATE,18  - ASSAM,3107657,363836,11.71%,33240,1.07%,560663,18.04%,124395,4.00%,2025479,65.18%
4,STATE,10  - BIHAR,12514147,1678083,13.41%,106935,0.85%,1106924,8.85%,430768,3.44%,9182232,73.37%
5,STATE,22  - CHHATTISGARH,5390879,446351,8.28%,240088,4.45%,852472,15.81%,296961,5.51%,3547563,65.81%
6,STATE,30  - GOA,343409,19334,5.63%,3894,1.13%,97704,28.45%,7812,2.27%,214294,62.40%
7,STATE,24  - GUJARAT,21609646,1882347,8.71%,167997,0.78%,4344101,20.10%,1245214,5.76%,13969724,64.65%
8,STATE,06  - HARYANA,7595223,656343,8.64%,38748,0.51%,1464256,19.28%,248326,3.27%,5185182,68.27%
9,STATE,02  - HIMACHAL PRADESH,622148,46770,7.52%,3515,0.56%,165674,26.63%,23494,3.78%,382695,61.51%
10,STATE,01  - JAMMU & KASHMIR,2774003,209353,7.55%,36218,1.31%,441298,15.91%,124323,4.48%,1962811,70.76%
11,STATE,20  - JHARKHAND,5260738,475797,9.04%,103464,1.97%,829794,15.77%,130977,2.49%,3720315,70.72%
12,STATE,29  - KARNATAKA,21797367,1735936,7.96%,1131080,5.19%,4833414,22.17%,747907,3.43%,13340515,61.20%
13,STATE,32  - KERALA,5799292,710094,12.24%,64167,1.11%,901864,15.55%,267109,4.61%,3853847,66.45%
14,STATE,23  - MADHYA PRADESH,17315162,1871817,10.81%,414027,2.39%,2313649,13.36%,997498,5.76%,11707486,67.61%
15,STATE,27  - MAHARASHTRA,41279012,2566323,6.22%,1043927,2.53%,9350673,22.65%,1490734,3.61%,26825114,64.98%
16,STATE,14  - MANIPUR,638198,35410,5.55%,5154,0.81%,88112,13.81%,90003,14.10%,419518,65.73%
17,STATE,17  - MEGHALAYA,351156,22213,6.33%,10903,3.10%,69069,19.67%,16541,4.71%,232430,66.19%
18,STATE,15  - MIZORAM,542105,40579,7.49%,4035,0.74%,88867,16.39%,54246,10.01%,354378,65.37%
19,STATE,13  - NAGALAND,450764,19613,4.35%,3313,0.73%,79256,17.58%,24324,5.40%,324197,71.92%
20,STATE,21  - ODISHA,5500873,560748,10.19%,82810,1.51%,947273,17.22%,238958,4.34%,3670527,66.73%
21,STATE,03  - PUNJAB,8393287,991541,11.81%,62871,0.75%,1473091,17.55%,313577,3.74%,5552207,66.15%
22,STATE,08  - RAJASTHAN,15403457,1449638,9.41%,112700,0.73%,2137689,13.88%,784363,5.09%,10917562,70.88%
23,STATE,11  - SIKKIM,126596,8570,6.77%,2886,2.28%,28053,22.16%,4356,3.44%,82731,65.35%
24,STATE,33  - TAMILNADU,28410592,3494580,12.30%,1306071,4.60%,5488869,19.32%,708939,2.50%,17395256,61.23%
25,STATE,28  - TELANGANA,11036187,618376,5.60%,200337,1.82%,3174477,28.76%,170243,1.54%,6872602,62.27%
26,STATE,16  - TRIPURA,715951,84688,11.83%,5020,0.70%,122004,17.04%,28374,3.96%,475851,66.46%
27,STATE,05  - UTTARAKHAND,2326014,198587,8.54%,22282,0.96%,424858,18.27%,59228,2.55%,1621045,69.69%
28,STATE,09  - UTTAR PRADESH,37133043,4348839,11.71%,621424,1.67%,4702162,12.66%,1426877,3.84%,26012196,70.05%
29,STATE,19  - WEST BENGAL,19623033,2008811,10.24%,592221,3.02%,3898408,19.87%,828306,4.22%,12292238,62.64%
30,UT,35  - ANDAMAN & NICOBAR ISLANDS,96567,4648,4.81%,292,0.30%,31548,32.67%,3019,3.13%,57060,59.09%
31,UT,04  - CHANDIGARH,849759,61051,7.18%,3298,0.39%,238771,28.10%,18237,2.15%,528402,62.18%
32,UT,26  - DADRA & NAGAR HAVELI,85788,2705,3.15%,149,0.17%,25343,29.54%,2376,2.77%,55215,64.36%
33,UT,25  - DAMAN AND DIU,57708,3622,6.28%,191,0.33%,13120,22.74%,2391,4.14%,38384,66.51%
34,UT,07  - NCT OF DELHI,10440249,498534,4.78%,144345,1.38%,2986358,28.60%,165004,1.58%,6645721,63.65%
35,UT,34  - PUDUCHERRY,679253,53300,7.85%,12158,1.79%,166926,24.57%,21938,3.23%,424931,62.56%
