,Zone,Code with States/ UTs Name,Total Households,No. of Households with Kuccha House 0Room,No. of Households with Kuccha House 1 Room,No. of Households with Kuccha House 2 Room,No. of Households with Kuccha House 3 Room,No. of Households with Kuccha House > 3 Room,% of Households with Kuccha House 0 Room,% of Households with Kuccha House 1 Room,% of Households with Kuccha House 2 Room,% of Households with Kuccha House 3 Room,% of Households with Kuccha House > 3 Room,No. of Households with Pucca House 0 Room,No. of Households with Pucca House 1 Room,No. of Households with Pucca House 2 Room,No. of Households with Pucca House 3 Room,No. of Households with Pucca House > 3 Room,% of Households with Pucca House 0 Room,% of Households with Pucca House 1 Room,% of Households with Pucca House 2 Room,% of Households with Pucca House 3 Room,% of Households with Pucca House > 3 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 0 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 1 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 2 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 3 Room,No. of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House > 3 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 0 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 1 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 2 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House 3 Room,% of Households with Semi Kuccha (Kuccha Wall & Pucca Roof) House > 3 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 0 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 1 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 2 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 3 Room,No. of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House > 3 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 0 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 1 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 2 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House 3 Room,% of Households with Semi Pucca (Pucca Wall & Kuccha Roof)  House % of Households with Semi Pucca (Pucca Wall & Kuccha Roof) House > 3 Room
25,Central,22 - CHHATTISGARH,4540999,5326,1438624,1264863,425212,243285,0.12%,31.68%,27.85%,9.36%,5.36%,274,84140,158592,107503,171639,0.01%,1.85%,3.49%,2.37%,3.78%,118,42485,68659,31523,20074,0.00%,0.94%,1.51%,0.69%,0.44%,371,140790,180728,75748,55979,0.01%,3.10%,3.98%,1.67%,1.23%
26,Central,23 - MADHYA PRADESH,11288946,58233,3222842,2101399,617557,328624,0.52%,28.55%,18.61%,5.47%,2.91%,6255,589005,901542,456178,610010,0.06%,5.22%,7.99%,4.04%,5.40%,7407,565517,518519,152926,86661,0.07%,5.01%,4.59%,1.35%,0.77%,5754,449986,336326,104699,72885,0.05%,3.99%,2.98%,0.93%,0.65%
27,North Eastern Total,,8061458,14408,702171,878178,478280,269187,0.18%,8.71%,10.89%,5.93%,3.34%,2986,196950,438094,396778,620567,0.04%,2.44%,5.43%,4.92%,7.70%,11258,880496,1389663,927656,623861,0.14%,10.92%,17.24%,11.51%,7.74%,685,19126,33398,25516,26245,0.01%,0.24%,0.41%,0.32%,0.33%
28,North Eastern,11 - SIKKIM,88723,16,2302,3613,1313,590,0.02%,2.59%,4.07%,1.48%,0.66%,3,2400,5010,6479,13403,0.00%,2.71%,5.65%,7.30%,15.11%,14,4255,16671,16660,13986,0.02%,4.80%,18.79%,18.78%,15.76%,0,51,60,98,143,0.00%,0.06%,0.07%,0.11%,0.16%
29,North Eastern,12 - ARUNACHAL PRADESH,201842,1191,36918,53204,26976,9762,0.59%,18.29%,26.36%,13.36%,4.84%,33,1589,4622,4077,4982,0.02%,0.79%,2.29%,2.02%,2.47%,180,12256,19784,13166,7630,0.09%,6.07%,9.80%,6.52%,3.78%,4,177,242,208,197,0.00%,0.09%,0.12%,0.10%,0.10%
30,North Eastern,13 - NAGALAND,284310,355,10648,28257,25091,16460,0.12%,3.75%,9.94%,8.83%,5.79%,0,1408,4945,8322,18149,0.00%,0.50%,1.74%,2.93%,6.38%,43,14336,51043,59558,41935,0.02%,5.04%,17.95%,20.95%,14.75%,0,49,365,711,866,0.00%,0.02%,0.13%,0.25%,0.30%
31,North Eastern,14 - MANIPUR,448163,43,11657,31278,31102,19886,0.01%,2.60%,6.98%,6.94%,4.44%,72,1876,4999,8769,18170,0.02%,0.42%,1.12%,1.96%,4.05%,349,21677,72311,115313,105412,0.08%,4.84%,16.13%,25.73%,23.52%,0,47,233,471,714,0.00%,0.01%,0.05%,0.11%,0.16%
32,North Eastern,15 - MIZORAM,111626,352,14714,15672,3906,1061,0.32%,13.18%,14.04%,3.50%,0.95%,175,5379,24199,11854,4601,0.16%,4.82%,21.68%,10.62%,4.12%,141,4645,12963,5383,1586,0.13%,4.16%,11.61%,4.82%,1.42%,3,161,451,207,57,0.00%,0.14%,0.40%,0.19%,0.05%
33,North Eastern,16 - TRIPURA,697062,101,82164,32360,5946,2681,0.01%,11.79%,4.64%,0.85%,0.38%,6,35812,30872,12231,7853,0.00%,5.14%,4.43%,1.75%,1.13%,114,259019,164522,34720,12915,0.02%,37.16%,23.60%,4.98%,1.85%,2,2876,1877,751,568,0.00%,0.41%,0.27%,0.11%,0.08%
34,North Eastern,17 - MEGHALAYA,485897,185,33287,60690,33665,13131,0.04%,6.85%,12.49%,6.93%,2.70%,81,11928,27811,27715,53315,0.02%,2.45%,5.72%,5.70%,10.97%,428,35959,77928,53952,40685,0.09%,7.40%,16.04%,11.10%,8.37%,3,520,1281,992,1198,0.00%,0.11%,0.26%,0.20%,0.25%
35,North Eastern,18 - ASSAM,5743835,12165,510481,653104,350281,205616,0.21%,8.89%,11.37%,6.10%,3.58%,2616,136558,335636,317331,500094,0.05%,2.38%,5.84%,5.52%,8.71%,9989,528349,974441,628904,399712,0.17%,9.20%,16.96%,10.95%,6.96%,673,15245,28889,22078,22502,0.01%,0.27%,0.50%,0.38%,0.39%
36,UT Total,,1338560,3216,31046,16024,4278,2935,0.24%,2.32%,1.20%,0.32%,0.22%,2947,270506,398687,256998,196628,0.22%,20.21%,29.78%,19.20%,14.69%,261,23576,34604,14677,9732,0.02%,1.76%,2.59%,1.10%,0.73%,934,16713,12613,4547,2503,0.07%,1.25%,0.94%,0.34%,0.19%
37,UT,04 - CHANDIGARH,15657,0,246,8,4,3,0.00%,1.57%,0.05%,0.03%,0.02%,1,9393,2533,1266,1517,0.01%,59.99%,16.18%,8.09%,9.69%,0,73,50,18,25,0.00%,0.47%,0.32%,0.11%,0.16%,0,335,45,19,11,0.00%,2.14%,0.29%,0.12%,0.07%
38,UT,07 - NCT OF DELHI,1051097,214,6521,2734,1535,1928,0.02%,0.62%,0.26%,0.15%,0.18%,1955,207715,338895,229473,179612,0.19%,19.76%,32.24%,21.83%,17.09%,129,9453,11762,5668,5228,0.01%,0.90%,1.12%,0.54%,0.50%,47,4987,6179,3076,1940,0.00%,0.47%,0.59%,0.29%,0.18%
39,UT,25 - DAMAN AND DIU,31795,9,461,90,8,11,0.03%,1.45%,0.28%,0.03%,0.03%,1,17564,6617,2256,1698,0.00%,55.24%,20.81%,7.10%,5.34%,0,794,468,270,251,0.00%,2.50%,1.47%,0.85%,0.79%,0,135,94,56,10,0.00%,0.42%,0.30%,0.18%,0.03%
40,UT,26 - DADRA & NAGAR HAVELI,45352,1,4964,6282,1253,609,0.00%,10.95%,13.85%,2.76%,1.34%,0,11646,4763,2023,1346,0.00%,25.68%,10.50%,4.46%,2.97%,0,4692,4766,934,369,0.00%,10.35%,10.51%,2.06%,0.81%,0,353,690,201,111,0.00%,0.78%,1.52%,0.44%,0.24%
41,UT,31 - LAKSHADWEEP,10929,1,147,88,28,15,0.01%,1.35%,0.81%,0.26%,0.14%,0,726,2483,2434,2873,0.00%,6.64%,22.72%,22.27%,26.29%,1,192,365,315,253,0.01%,1.76%,3.34%,2.88%,2.31%,0,105,375,234,192,0.00%,0.96%,3.43%,2.14%,1.76%
42,UT,34 - PUDUCHERRY,115249,2980,17210,4115,346,70,2.59%,14.93%,3.57%,0.30%,0.06%,978,19229,32105,11702,4026,0.85%,16.68%,27.86%,10.15%,3.49%,118,2227,1534,341,111,0.10%,1.93%,1.33%,0.30%,0.10%,887,10736,4968,792,183,0.77%,9.32%,4.31%,0.69%,0.16%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,68481,11,1497,2707,1104,299,0.02%,2.19%,3.95%,1.61%,0.44%,12,4233,11291,7844,5556,0.02%,6.18%,16.49%,11.45%,8.11%,13,6145,15659,7131,3495,0.02%,8.97%,22.87%,10.41%,5.10%,0,62,262,169,56,0.00%,0.09%,0.38%,0.25%,0.08%
